Symptom_en,Symptom_rus
Heberdens node,Узел Хебердена
Murphys sign,Симптом Мюрфе
Stahlis line,Линия Стахли
abdomen acute,острый живот
abdominal bloating,вздутие живота
abdominal tenderness,болезненность живота
abnormal sensation,ненормальное ощущение
abnormally hard consistency,аномально жесткая консистенция
abortion,аборт
abscess bacterial,абсцесс бактериальный
absences finding,отсутствие нахождения
achalasia,ахалазия
ache,болеть
adverse effect,вредное воздействие
adverse reaction,неблагоприятные реакции
agitation,волнение
air fluid level,уровень жидкости в воздухе
alcohol binge episode,эпизод алкогольного запоя
alcoholic withdrawal symptoms,симптомы алкогольной абстиненции
ambidexterity,двуличие
angina pectoris,ангина
anorexia,анорексия
anosmia,аносмия
aphagia,афагия
apyrexial,апирексия
arthralgia,артралгия
ascites,асцит
asterixis,астериксис
asthenia,слабость
asymptomatic,бессимптомный
ataxia,атаксия
atypia,атипия
aura,аура
awakening early,просыпаться рано
barking cough,лающий кашель
bedridden,прикованный к постели
behavior hyperactive,гиперактивное поведение
behavior showing increased motor activity,"поведение, показывающее повышенную двигательную активность"
blackout,затемнение
blanch,бледнеть
bleeding of vagina,кровотечение из влагалища
bowel sounds decreased,звуки кишечника уменьшились
bradycardia,брадикардия
bradykinesia,брадикинезия
breakthrough pain,прорывная боль
breath sounds decreased,звуки дыхания уменьшились
breath-holding spell,задержка дыхания
breech presentation,предлежание ягодичное
bruit,молва
burning sensation,обжигающее ощущение
cachexia,кахексия
cardiomegaly,кардиомегалия
cardiovascular event,сердечно-сосудистое событие
cardiovascular finding,сердечно-сосудистые заболевания
catatonia,кататония
catching breath,отдышаться
charleyhorse,спазмы в мышцах ног
chest discomfort,дискомфорт в груди
chest tightness,стеснение в груди
chill,озноб
choke,удушение
cicatrisation,рубцевание
clammy skin,липкая кожа
claudication,хромота
clonus,клонус
clumsiness,неуклюжесть
colic abdominal,колики в животе
consciousness clear,ясное сознание
constipation,запор
coordination abnormal,нарушение координации
cough,кашель
cushingoid facies,кушингоидные лица
cushingoid habitus,кушингоидная привычка
cyanosis,цианоз
cystic lesion,кистозное поражение
debilitation,истощение
decompensation,декомпенсация
decreased body weight,сниженная масса тела
decreased stool caliber,уменьшенный калибр лица
decreased translucency,пониженная прозрачность
diarrhea,диарея
difficulty,затруднение
difficulty passing urine,затруднение мочеиспускания
disequilibrium,нарушение равновесия
distended abdomen,вздутый живот
distress respiratory,респираторный дистресс
disturbed family,беспокойная семья
dizziness,головокружение
dizzy spells,приступы головокружения
drool,пускать слюни
drowsiness,сонливость
dullness,тупость
dysarthria,дизартрия
dysdiadochokinesia,дисдиадохокинезия
dysesthesia,дизестезия
dyspareunia,диспареуния
dyspnea,одышка
dyspnea on exertion,одышка при нагрузке
dysuria,дизурия
ecchymosis,экхимоз
egophony,эгофония
elation,восторг
emphysematous change,эмфизематозное изменение
energy increased,энергия увеличилась
enuresis,энурез
erythema,эритема
estrogen use,использование эстрогена
excruciating pain,мучительная боль
exhaustion,истощение
extrapyramidal sign,экстрапирамидный признак
extreme exhaustion,крайнее истощение
facial paresis,парез лица
fall,упадок
fatigability,утомляемость
fatigue,усталость
fear of falling,страх падения
fecaluria,фекалурия
feces in rectum,кал в прямой кишке
feeling hopeless,чувство безнадежности
feeling strange,чувствую себя странно
feeling suicidal,чувство суицида
feels hot/feverish,чувствует жар / лихорадку
fever,жар
flare,вспышка
flatulence,вспышка
floppy,пассивный
flushing,вспыхнуть
focal seizures,фокальные припадки
food intolerance,пищевая непереносимость
formication,мурашки по телу
frail,слабый
fremitus,дрожание
frothy sputum,пенистая мокрота
gag,замолчать
gasping for breath,задыхаться
general discomfort,общий дискомфорт
general unsteadiness,общая неустойчивость
giddy mood,головокружительное настроение
gravida 0,беременная 0
gravida 10,беременная 10
green sputum,зеленая мокрота
groggy,слабый
guaiac positive,гваяковый положительный
gurgle,бульканье
hacking cough,отрывистый кашель
haemoptysis,кровохарканье
haemorrhage,кровотечение
hallucinations auditory,слуховые галлюцинации
hallucinations visual,зрительные галлюцинации
has religious belief,имеет религиозную веру
headache,головная боль
heartburn,изжога
heavy feeling,тяжелое чувство
heavy legs,тяжелые ноги
hematochezia,гематохезия
hematocrit decreased,гематокрит снизился
hematuria,гематурия
heme positive,гем положительный
hemianopsia homonymous,гемианопсия одноименная
hemiplegia,гемиплегия
hemodynamically stable,гемодинамически стабильный
hepatomegaly,гепатомегалия
hepatosplenomegaly,гепатоспленомегалия
hirsutism,гирсутизм
history of - blackout,обморок
hoard,желание накапливать
hoarseness,охриплость
homelessness,бездомность
homicidal thoughts,мысли об убийстве
hot flush,горячий прилив
hunger,голод
hydropneumothorax,гидропневмоторакс
hyperacusis,гиперакузия
hypercapnia,гиперкапния
hyperemesis,гиперемезис
hyperhidrosis disorder,расстройство гипергидроза
hyperkalemia,гиперкалиемия
hypersomnia,гиперсомния
hypersomnolence,гиперсонливость
hypertonicity,гипертонус
hyperventilation,гипервентиляция
hypesthesia,гипестезия
hypoalbuminemia,гипоальбуминемия
hypocalcemia result,результат гипокальциемии
hypokalemia,гипокалиемия
hypokinesia,гипокинезия
hypometabolism,гипометаболизм
hyponatremia,гипонатриемия
hypoproteinemia,гипонатриемия
hypotension,гипотония
hypothermia natural,"переохлаждение, естественное"
hypotonic,гипотонический
hypoxemia,гипоксемия
immobile,неподвижен
impaired cognition,нарушение познания
inappropriate affect,неуместный аффект
incoherent,бессвязный
indifferent mood,безразличное настроение
intermenstrual heavy bleeding,межменструальное сильное кровотечение
intoxication,интоксикация
irritable mood,раздражительное настроение
jugular venous distention,вздутие яремных вен
labored breathing,затрудненное дыхание
lameness,хромота
large-for-dates fetus,новорожденный весит больше обычного
left atrial hypertrophy,гипертрофия левого предсердия
lesion,поражение
lethargy,вялость
lightheadedness,легкомысленность
lip smacking,причмокивание губ
loose associations,свободные ассоциации
low back pain,люмбаго
lung nodule,узелок в легких
macerated skin,мацерированная кожа
macule,пятно
malaise,недомогание
mass in breast,масса в груди
mass of body structure,масса конструкции тела
mediastinal shift,смещение средостения
mental status changes,изменения психического статуса
metastatic lesion,метастатическое поражение
milky,молочный
moan,стон
monoclonal,моноклональный
monocytosis,моноцитоз
mood depressed,настроение подавленное
moody,капризный
motor retardation,моторная отсталость
muscle hypotonia,мышечная гипотония
muscle twitch,подергивание мышц
myalgia,мышечная боль
mydriasis,мидриаз
myoclonus,миоклонус
nasal discharge present,выделения из носа
nasal flaring,расширение носа
nausea,тошнота
nausea and vomiting,тошнота и рвота
neck stiffness,скованность шеи
neologism,неологизм
nervousness,нервозность
night sweat,ночной пот
nightmare,кошмарный сон
no known drug allergies,нет известных лекарственных аллергий
no status change,без изменения статуса
noisy respiration,шумное дыхание
non-productive cough,непродуктивный кашель
nonsmoker,некурящий
numbness,онемение
numbness of hand,онемение руки
oliguria,олигурия
orthopnea,ортопноэ
orthostasis,ортостаз
out of breath,запыхавшийся
overweight,лишний вес
pain,боль
pain abdominal,боль в животе
pain back,боль в спине
pain chest,боль в груди
pain foot,боль в ноге
pain in lower limb,боль в нижней конечности
pain neck,боль в шее
painful swallowing,болезненное глотание
pallor,бледность
palpitation,сильное сердцебиение
panic,паника
pansystolic murmur,пансистолический шум
para 1,пункт 1
para 2,пункт 2
paralyse,парализовать
paraparesis,парапарез
paresis,парез/полупаралич
paresthesia,парестезия
passed stones,прошли камни
patient non compliance,несоблюдение пациентом режима
pericardial friction rub,трение перикарда
phonophobia,фонофобия
photophobia,светобоязнь
photopsia,фотопсия
pin-point pupils,точечные зрачки
pleuritic pain,плевритная боль
pneumatouria,пневматурия
polydypsia,полидипсия/усиленная жажда
polymyalgia,полимиалгия
polyuria,полиурия
poor dentition,плохая прикуса
poor feeding,плохое кормление
posterior rhinorrhea,задняя ринорея
posturing,позирование
presence of q wave,наличие зубца q
pressure chest,напряжение в груди
previous pregnancies 2,предыдущие беременности 2
primigravida,первородящие
prodrome,продромальный период
productive cough,продуктивный кашель
projectile vomiting,рвота снарядом
prostate tender,нежная простата
prostatism,простатизм
proteinemia,протеинемия
pruritus,зуд
pulse absent,пульс отсутствует
pulsus paradoxus,парадоксальный пульс
pustule,пустула
qt interval prolonged,qt интервал продлен
r wave feature,характеристика волны r
rale,хрип
rambling speech,бессвязная речь
rapid shallow breathing,быстрое поверхностное дыхание
red blotches,красные пятна
redness,покраснение
regurgitates after swallowing,срыгивает после глотания
renal angle tenderness,болезненность почечного угла
rest pain,боль в состоянии покоя
retch,рвота
retropulsion,ретропульсия
rhd positive,псп положительный
rhonchus,хрип
rigor - temperature-associated observation,"строгость - наблюдение, связанное с температурой"
rolling of eyes,закатывание глаз
room spinning,головокружение 
satiety early,сытость рано
scar tissue,рубцовая ткань
sciatica,радикулит
scleral icterus,склеральная желтуха
scratch marks,царапины
sedentary,сидячий
seizure,приступ
sensory discomfort,сенсорный дискомфорт
shooting pain,стреляющая боль
shortness of breath,одышка
side pain,боковая боль
sinus rhythm,синусовый ритм
sleeplessness,бессонница
sleepy,сонный
slowing of urinary stream,замедление потока мочи
sneeze,замедление потока мочи
sniffle,принюхиваться
snore,храпеть
snuffle,сопеть
soft tissue swelling,сопеть
sore to touch,больно прикасаться
spasm,спазм
speech slurred,невнятная речь
splenomegaly,спленомегалия
spontaneous rupture of membranes,самопроизвольный разрыв плодных оболочек
sputum purulent,мокрота гнойная
st segment depression,депрессия первого сегмента
st segment elevation,высота сегмента st
stiffness,оцепенелость
stinging sensation,покалывание
stool color yellow,цвет лица желтый
stridor,стридор
stuffy nose,заложенный нос
stupor,ступор
suicidal,суицидный
superimposition,наложение
sweat,потливость
sweating increased,увелечение потливости
swelling,припухлость
symptom aggravating factors,"фактор, отягчающий симптомы"
syncope,обморок
systolic ejection murmur,шум систолического выброса
systolic murmur,систолический шум
t wave inverted,t волна перевернутая
tachypnea,тахипноэ
tenesmus,тенезмы
terrify,ужасать
thicken,сгущаться
throat sore,боль в горле
throbbing sensation quality,качество ощущения пульсации
tinnitus,звон в ушах
tired,усталость
titubation,заикание
todd paralysis,тодд паралич
tonic seizures,тонические припадки
transaminitis,трансаминит
transsexual,транссексуал
tremor,дрожь
tremor resting,тремор в покое
tumor cell invasion,инвазия опухолевых клеток
unable to concentrate,не может сконцентрироваться
unconscious state,бессознательное состояние
uncoordination,несогласованность
underweight,недостаточный вес
unhappy,несчастный
unresponsiveness,невосприимчивость
unsteady gait,нетвердая походка
unwell,нездоровый
urge incontinence,позывное недержание мочи
urgency of micturition,срочность мочеиспускания
urinary hesitation,задержка мочеиспускания
urinoma,уринома
verbal auditory hallucinations,словесные слуховые галлюцинации
verbally abusive behavior,словесно оскорбительное поведение
vertigo,головокружение
vision blurred,зрение нечеткое
vomiting,рвота
weepiness,плаксивость
weight gain,увеличение веса
welt,волдырь
wheelchair bound,прикованный к инвалидной коляске
wheezing,хрипы
withdraw,изымать
worry,волноваться
yellow sputum,желтая мокрота